927.4488415,525.8641731,0
962.7592007,448.3049456,0
840.3802052,420.748231,0
807.4673631,447.530111,0
806.6343362,448.2024165,0
805.7959326,448.8680048,0
804.9522065,449.526833,0
804.1032124,450.1788586,0
803.2490051,450.8240394,0
802.3896398,451.4623337,0
801.5251721,452.0937004,0
800.6556577,452.7180986,0
799.7811528,453.3354879,0
798.901714,453.9458286,0
798.0173981,454.5490812,0
797.1282621,455.1452066,0
796.2343635,455.7341665,0
795.3357601,456.3159227,0
794.4325099,456.8904376,0
793.5246712,457.4576742,0
792.6123028,458.0175959,0
791.6954635,458.5701663,0
790.7742126,459.1153499,0
789.8486096,459.6531114,0
788.9187143,460.1834161,0
787.9845868,460.7062297,0
787.0462873,461.2215185,0
786.1038766,461.7292491,0
785.1574155,462.2293887,0
784.2069651,462.7219052,0
783.2525868,463.2067665,0
782.2943424,463.6839415,0
781.3322936,464.1533992,0
780.3665028,464.6151094,0
779.3970321,465.0690423,0
778.4239443,465.5151684,0
777.4473023,465.953459,0
776.467169,466.3838858,0
775.483608,466.806421,0
774.4966826,467.2210372,0
773.5064566,467.6277077,0
772.512994,468.0264062,0
771.5163591,468.417107,0
770.5166161,468.7997848,0
769.5138296,469.1744149,0
768.5080645,469.5409731,0
767.4993857,469.8994357,0
766.4878584,470.2497795,0
765.4735478,470.591982,0
764.4565197,470.926021,0
763.4368395,471.2518749,0
763.4368395,471.2518749,0
765.1250881,476.2490906,0
765.5977977,479.8619425,0
763.2004847,483.3059696,0
761.1745865,485.5006927,0
759.5201029,490.8693231,0
759.0473933,494.2458202,0
761.0057616,497.4872574,0
761.6472961,500.8975195,0
763.5718994,505.5233205,0
767.4548711,508.7309928,0
770.6963083,514.268448,0
771.0001931,515.7541068,0
771.3378428,517.4085903,0
772.3170269,518.4890694,0
774.8493998,519.4344886,0
777.3817726,519.9071982,0
779.4414358,520.7513225,0
781.4673341,522.2369812,0
784.6412414,521.325327,0
787.7476187,521.359092,0
789.5371622,522.1019213,0
790.9103082,522.0707986,0
793.9963707,522.7565903,0
796.2251937,521.0706858,0
798.1396955,520.2705955,0
801.4829299,520.2705955,0
803.7403275,521.0135364,0
805.2262095,522.5279931,0
806.1120237,524.9282639,0
805.6262546,527.1285122,0
805.1976348,529.8145296,0
805.3007714,532.3353498,0
805.6043771,534.3958502,0
805.8365462,536.4496534,0
808.0153635,539.5392878,0
809.872716,542.5217672,0
810.21204,545.3435142,0
812.0693924,547.0579934,0
812.1586882,549.5046981,0
811.5871951,551.7013745,0
809.6226877,554.5945582,0
807.4795887,556.9519671,0
805.9437011,559.9380183,0
805.2579095,562.023968,0
803.8863261,564.4528135,0
803.1433851,568.6818622,0
803.4291317,570.3963414,0
804.7435657,574.882562,0
805.9722758,577.6257287,0
806.0865744,580.3688954,0
807.7439043,581.140411,0
807.0581126,582.540569,0
806.1437237,585.4837583,0
806.2294477,587.4268347,0
808.2296734,589.4270604,0
812.544446,590.1414268,0
813.8874547,590.5128973,0
816.9735173,591.0843903,0
822.6598733,590.8272184,0
824.1171806,590.1414268,0
824.1743299,589.1698886,0
824.2886285,586.9696403,0
825.8745217,585.512333,0
830.9643818,581.4404449,0
833.1967766,580.9046701,0
835.3755939,579.1366135,0
839.7332286,575.6540776,0
841.8763275,573.7431477,0
842.9121587,572.6001615,0
845.3052859,571.5464712,0
847.6798396,571.0178401,0
849.3257396,568.7775873,0
851.5659924,566.8573706,0
854.9949508,566.5373345,0
856.7322897,564.2970817,0
859.9783703,563.6570095,0
861.2585148,560.2737705,0
864.7331926,558.8107483,0
865.8761788,559.1765038,0
867.2020427,561.0510011,0
868.162151,562.0111094,0
869.5794538,561.5081955,0
870.3109649,559.3593816,0
871.0881955,558.0335177,0
871.7282677,556.0675816,0
873.9228011,554.6502788,0
874.83719,550.1697731,0
873.9570907,546.7808193,0
873.2998737,544.5234217,0
874.1571133,543.7233314,0
877.9575421,543.7233314,0
881.6436724,544.2091005,0
883.2152783,543.7233314,0
884.6154363,542.5517706,0
887.3871777,540.2657983,0
889.3016795,539.637156,0
891.3019052,536.8654146,0
894.3593931,535.6938538,0
895.1594834,534.1793972,0
898.2169713,531.2933572,0
900.6172421,528.5787652,0
903.8747526,527.4643537,0
906.4464714,525.5784266,0
908.1323759,524.5783137,0
910.7040947,522.8924092,0
913.0186416,522.3494908,0
915.7618083,522.1780429,0
917.2476903,523.9210967,0
919.8194091,525.2926801,0
922.9911956,526.2927929,0
925.677213,526.9214353,0
